	ID	degree	betweenness	betweennessbct	eigenvector	eigenvectorbct	katz	closeness	load	clustering_coef	clustering_coefbct	pagerank	pagerank_d85bct	subgraph	subgraphbct	harmonic	strength
0	0	17.0	0.001317814150153757	169.36811020606115	0.02575648103691978	0.02575607740697862	0.04090958661076675	0.4508621579027881	0.0014730112834764925	0.2794117647058824	0.2794117647058824	0.0019760616584598408	0.0019744705311294146	277388190361.7647	277388190361.7869	171.83333333333417	0.38073956743000614
1	1	51.0	0.007694219921451283	988.8765327447617	0.08904622527134226	0.08904620431008142	0.014160723233289619	0.5237760677119926	0.0075085080311232625	0.13411764705882356	0.13411764705882356	0.004686166611894027	0.00468607809827565	3315578734970.5483	3315578734970.7603	201.33333333333343	1.9307878792057922
2	2	31.0	0.003554115554849401	456.78203934035474	0.052251762931566026	0.05225197120689176	0.023620930332844653	0.4909945335714646	0.003621153186723365	0.14623655913978495	0.14623655913978495	0.003067748499121696	0.0030675546164877217	1141652361591.5027	1141652361591.5725	187.16666666666703	1.0513155773620573
3	3	9.0	8.764267285564043e-05	11.264011600752617	0.011420925042806243	0.011420659532554124	0.051217813268865695	0.381236576282811	0.00010757267658971353	0.6666666666666666	0.6666666666666666	0.001263513084275453	0.0012622713534230655	54539468612.23875	54539468612.24235	145.41666666666634	0.42478619722563554
4	4	14.0	0.0006518296229710838	83.77444680348965	0.02298270891116332	0.02298247427322555	0.03795306681103616	0.4315709897773631	0.0007411030645805187	0.2857142857142857	0.2857142857142857	0.0016630407789475336	0.001661881662627585	220862553690.63956	220862553690.6535	165.000000000001	0.49574049758586614
5	5	14.0	0.00035768000788956056	45.969749973982104	0.028755591890803237	0.02875543742659145	0.02682892307933617	0.4497134645068573	0.0003651335655017822	0.1978021978021978	0.1978021978021978	0.0015736005556425707	0.0015733317971894727	345755008260.1681	345755008260.1906	170.50000000000082	0.20177463266367868
6	6	51.0	0.009035157966013629	1161.2165721080034	0.08662277487307296	0.08662279793047617	-0.0688574010507419	0.526117838506532	0.008764949671843856	0.1223529411764706	0.1223529411764706	0.004754813549543603	0.004754609645935969	3137566480649.3745	3137566480649.5767	201.83333333333343	1.2450243678258879
7	7	4.0	4.407612689826067e-05	5.6647519812182585	0.0037355163564949	0.0037355046590331533	0.00865377974798736	0.3505710721329523	5.4353422510778025e-05	0.3333333333333333	0.3333333333333333	0.0008517351371350805	0.0008513160154045023	5834815019.897018	5834815019.89736	131.08333333333263	0.7229899167074477
8	8	20.0	0.0014731581478838324	189.33323148232586	0.0311111412204907	0.03111098880096902	0.04377616707168333	0.4590703116227348	0.0015538873666143286	0.13157894736842105	0.13157894736842105	0.0021392458989018355	0.0021393308511187896	404721383528.9025	404721383528.9288	175.1666666666674	0.5192036561022431
9	9	19.0	0.0008382304438166244	107.7310531002002	0.03524030019789925	0.035240537367434994	-0.04214134542034054	0.4572863596345635	0.0008838668562696359	0.14035087719298245	0.14035087719298245	0.0019839256290634802	0.001984024994340715	519294312531.8045	519294312531.8384	174.33333333333408	0.2997665921786211
10	10	31.0	0.002722446566912142	349.89427767268234	0.05539884229994902	0.055398620923679406	-0.07760613340996153	0.4965190852853488	0.002703283654894906	0.1913978494623656	0.1913978494623656	0.003022256147159895	0.0030222210444859066	1283294785533.0156	1283294785533.1003	188.50000000000026	0.6585978634064941
11	11	28.0	0.0024523891380822897	315.18595680461203	0.04618828339486277	0.04618824980619525	-0.030018512895258836	0.4816167389329918	0.002473183105209577	0.1349206349206349	0.1349206349206349	0.002792330143389619	0.0027924514152109664	892054798485.7733	892054798485.8335	183.83333333333383	0.4175214114405353
12	12	27.0	0.002872370486608705	369.16279967992386	0.045854282329158974	0.04585398170805439	0.06852446522056166	0.4809605853377153	0.002961792985358561	0.1908831908831909	0.1908831908831909	0.002761377649858025	0.0027599997117063488	879189776229.4508	879189776229.5054	183.33333333333383	0.8289913770853544
13	13	23.0	0.0008654890783808318	111.23438733166128	0.04501625185713709	0.045016838763619706	-0.017813704462228852	0.473223953938181	0.0008848262743916569	0.2411067193675889	0.2411067193675889	0.0022906718929517557	0.002291070834314034	847380588685.8124	847380588685.864	180.00000000000054	0.7702211488862996
14	14	33.0	0.002115526392714795	271.8916830444909	0.06331874761167121	0.06331943485494464	-0.019707302868930403	0.4923641138603668	0.002117446725743773	0.1856060606060606	0.1856060606060606	0.0031024356175446475	0.0031029596143033644	1676496233901.5764	1676496233901.68	188.16666666666703	1.327764787134228
15	15	23.0	0.0010400371768255446	133.66765803997265	0.04240156576862982	0.04240168266378355	-0.02249397001975365	0.4682030101298183	0.0010391635216729794	0.19367588932806326	0.19367588932806326	0.002313316926157007	0.002313218255729473	751786815981.2521	751786815981.2994	178.66666666666728	-0.5404341949777711
16	16	43.0	0.0056809500637167755	730.1270640890074	0.07379809896604121	0.07379820364107798	-0.02322490337329401	0.513864730186147	0.005643365586494607	0.12624584717607973	0.12624584717607973	0.004020285613528695	0.004020337150998754	2277299249955.559	2277299249955.708	196.50000000000014	1.0590248335764723
17	17	7.0	9.96234561572662e-05	12.803805832244166	0.01013560454277039	0.010135625971122728	-0.051958278919677865	0.3845588993876721	0.00011563809126367737	0.3333333333333333	0.3333333333333333	0.00105083534258371	0.0010506997837017363	42956577870.34812	42956577870.35107	146.0833333333331	0.4252410809017934
18	18	49.0	0.008023422414998423	1031.1862956204275	0.08757745792487984	0.0875772889817767	-0.04308101730515861	0.5237760677119926	0.007755144214351532	0.12244897959183673	0.12244897959183673	0.004557213967376263	0.004556789342227795	3207092720173.1187	3207092720173.3286	200.6666666666668	1.4187721178863684
