	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	pagerank	subgraph	harmonic	strength
0	0	17	3.0	0.0013401496297362017	0.022442674253539983	0.02575648103691978	0.040910419314902594	0.454661558109834	0.02462417371509933	0.0014979771813179758	0.2794117647058824	0.0019785353209185973	277388190361.7639	171.83333333333417	0.3797296989655957
1	1	51	3.0	0.007824628364810585	0.2208165120233229	0.08904622527134226	0.014161011471177406	0.5281899109792285	0.03923217533079711	0.007635768865137077	0.13411764705882356	0.004692073440477688	3315578734970.5444	201.33333333333343	1.9281198921391343
2	2	31	3.0	0.0036143538482382867	0.08401311715450291	0.05225176293156602	0.023621411130819014	0.4951321279554937	0.03312623981301853	0.003682527693179777	0.14623655913978495	0.0030716129318140873	1141652361591.507	187.16666666666703	1.0500513203945923
3	3	9	4.0	8.912811837911552e-05	0.004615775592294637	0.011420925042806241	0.05121885579430949	0.3844492440604752	0.016448661517480766	0.00010939591344091754	0.6666666666666666	0.0012650936404373053	54539468612.23663	145.41666666666634	0.4246774588275862
4	4	14	3.0	0.0006628774078453049	0.0174648287431285	0.02298270891116332	0.03795383933597005	0.4352078239608802	0.02220881865275983	0.0007536639346891707	0.2857142857142857	0.0016651251666465136	220862553690.63898	165.000000000001	0.4984469200845594
5	5	14	3.0	0.000363742284965834	0.025924914836101667	0.028755591890803237	0.02682946917517974	0.4535031847133758	0.02252723958092802	0.0003713221720637763	0.1978021978021978	0.0015755805553341893	345755008260.1696	170.50000000000082	0.20497901701141552
6	6	51	3.0	0.00918829381316667	0.211833405826088	0.08662277487307295	-0.06885880262546792	0.5305514157973175	0.03920068633192563	0.008913505789877482	0.1223529411764706	0.004760804399210083	3137566480649.3843	201.83333333333343	1.2460575643109562
7	7	4	4.0	4.4823168074206816e-05	0.0005826764031500242	0.0037355163564949	0.008653955893453035	0.3535253227408143	0.00868341387713917	5.527465238115377e-05	0.3333333333333333	0.0008528017153044757	5834815019.896914	131.08333333333263	0.7224225695469145
8	8	20	3.0	0.001498126534913166	0.031193635184574874	0.0311111412204907	0.04377705812432965	0.4629388816644994	0.027200101758191143	0.0015802240238329385	0.13157894736842105	0.002141942658707434	404721383528.9025	175.1666666666674	0.5187775920187844
9	9	19	3.0	0.0008524375146399763	0.03843172604330016	0.03524030019789925	-0.042142203196610335	0.461139896373057	0.026601306922879982	0.0008988474133683033	0.14035087719298245	0.0019864285515857056	519294312531.8061	174.33333333333408	0.299510679564411
10	10	31	3.0	0.0027685889988343275	0.0930745633475532	0.055398842299949014	-0.07760771306288816	0.5007032348804501	0.033152468872066194	0.002749101296838132	0.1913978494623656	0.0030260646380090976	1283294785533.0205	188.50000000000026	0.6619595834331703
11	11	28	3.0	0.002493954397884254	0.0662636554256531	0.046188283394862764	-0.030019123914383574	0.4856753069577081	0.03178139149361288	0.002515100799554876	0.1349206349206349	0.002795850760582798	892054798485.7786	183.83333333333383	0.4161228685850897
12	12	27	3.0	0.0029210539617021995	0.06612301269503043	0.04585428232915897	0.06852586001846472	0.4850136239782016	0.031157344919623083	0.003011992072038716	0.1908831908831909	0.002764844498768149	879189776229.4513	183.33333333333383	0.8273663423680858
13	13	23	3.0	0.0008801581526480555	0.0614390112042057	0.0450162518571371	-0.017814067055611227	0.4772117962466488	0.029217198591266893	0.0008998230925570857	0.2411067193675889	0.0022935640354251317	847380588685.8103	180.00000000000054	0.7646019228446534
14	14	33	3.0	0.0021513822048147713	0.11745407451118378	0.0633187476116712	-0.0197077040060227	0.49651324965132504	0.03401781967583799	0.002153335085346109	0.1856060606060606	0.0031063530900276057	1676496233901.5725	188.16666666666703	1.3268490119593963
15	15	23	3.0	0.0010576646466210844	0.055178095712959487	0.04240156576862982	-0.022494427878740047	0.4721485411140584	0.029214637380849187	0.0010567761839884052	0.19367588932806326	0.0023162316666168557	751786815981.2528	178.66666666666728	-0.5399239776641798
16	16	43	3.0	0.005777235829158153	0.15802202894808262	0.0737980989660412	-0.023225376110239757	0.5181950509461426	0.03727334743397047	0.005739014336979426	0.12624584717607973	0.00402535487179857	2277299249955.566	196.50000000000014	1.0592951862113653
17	17	7	4.0	0.00010131196259094924	0.0034496938462039773	0.01013560454277039	-0.051959336517110176	0.3877995642701525	0.013939636930012423	0.00011759802789516016	0.3333333333333333	0.0010521579726657084	42956577870.3484	146.0833333333331	0.4271943503613746
18	18	49	3.0	0.00815941047333777	0.2155415240121011	0.08757745792487981	-0.043081894208207884	0.5281899109792285	0.03878204830180601	0.007886585256503304	0.12244897959183673	0.0045629521785362035	3207092720173.125	200.6666666666668	1.422881879694991
19	19	45	3.0	0.007910838099349341	0.15215899614931572	0.0716671849767087	0.13362796523650425	0.5144508670520231	0.037738253202129035	0.007801529419880424	0.11212121212121212	0.004298614164861749	2147648718413.6023	196.3333333333336	1.1699492402628175
20	20	10	3.0	0.0002766044733085651	0.00990597344277446	0.017381861496302716	-0.05153812265036036	0.41981132075471705	0.01804904585499081	0.0003215038697444461	0.2888888888888889	0.0012963087790756507	126335588502.62578	158.66666666666728	-0.0053821152223963754
21	21	27	3.0	0.0032020207067296217	0.06055687626517936	0.043731190108347064	-0.031094256103930164	0.4823848238482385	0.03119852970317225	0.0033394012300509077	0.13105413105413105	0.002789216809187095	799668144783.2009	182.66666666666717	0.2261531435893248
22	22	36	3.0	0.004168385627891825	0.12475667846165163	0.06477307922504477	-0.07874207332453373	0.5122302158273381	0.03508833556703878	0.004121773953245624	0.14603174603174604	0.003459321013021229	1754367669892.2983	192.8333333333335	0.8997510291830747
23	23	44	3.0	0.006950976931032195	0.16006197106457656	0.07389721692455256	-0.0353556787094597	0.5189504373177842	0.037524716413380566	0.006783282361757522	0.11522198731501054	0.0041721615702108965	2283399285891.5703	197.00000000000014	1.4911469038517802
24	24	26	3.0	0.002503486253707544	0.05543779767815383	0.04193664968628704	-0.03321109454444025	0.4850136239782016	0.030762732853795306	0.0026062226330546005	0.15384615384615385	0.0026462080634247487	735384403672.5995	183.00000000000043	0.8649947469491491
25	25	28	3.0	0.0018791691459631003	0.07130961752014396	0.04824349814959456	-0.10267720139102	0.4856753069577081	0.0317972995488424	0.0019031820445258641	0.20105820105820105	0.0027572089853001728	973214929108.3647	183.83333333333383	1.069964812724686
26	26	32	3.0	0.0024827742319817442	0.10534963020192203	0.05951407757241251	-0.031133326999875907	0.5	0.03362409138727754	0.002500240277156827	0.16129032258064516	0.003057294209838988	1481066370610.8774	188.666666666667	1.092533988393359
27	27	22	3.0	0.0013586442093677224	0.045837900524455764	0.03822254195172123	-0.048665420970572235	0.4810810810810811	0.028570990332854568	0.0013878660529307743	0.16883116883116886	0.0022639894072832897	610893589833.4261	180.66666666666717	0.7074173869364973
28	28	51	3.0	0.009090476511023269	0.20935673909934865	0.08609656869996905	-0.10694731276319344	0.5258493353028065	0.0392109107141644	0.008839125220114194	0.10745098039215686	0.004736984549404426	3099571117712.1816	200.83333333333348	0.49730261618027394
29	29	33	3.0	0.003136544347966938	0.0983002824863726	0.05708415410599566	0.03241944225536016	0.4923928077455049	0.03394187484466354	0.0031680457868251337	0.16287878787878787	0.00319338210320292	1362589621418.3245	187.1666666666671	1.305211701430452
30	30	35	3.0	0.003200945802175694	0.10867904047574642	0.06044149124145477	0.04899421713722377	0.4958217270194986	0.034711476694421615	0.0032403892424858497	0.16806722689075632	0.0033344403214003357	1527594394687.0178	188.66666666666703	0.6919035455903733
31	31	36	3.0	0.002982756900873477	0.12996854493838494	0.06661662493743599	-0.05462607890322513	0.5064011379800853	0.035132560426520694	0.002940600219649224	0.16984126984126985	0.003376169216576934	1855663017752.9692	191.50000000000026	0.7976643211796988
32	32	35	3.0	0.0034733565629737327	0.1061694480291488	0.05955947092710572	0.03885310385195426	0.4937586685159501	0.034714666247776894	0.003512589167673994	0.13781512605042018	0.0033478134437093924	1483329016346.7622	188.1666666666671	0.2911567502696829
33	33	35	3.0	0.0047468774706722824	0.10114787903234287	0.0576483857288425	0.0670118653092598	0.5	0.034647475939066856	0.004812601927702547	0.12773109243697478	0.003444244647770212	1389655942118.0518	189.666666666667	1.6815562086531677
34	34	48	3.0	0.007234912951087019	0.18962782041883885	0.08157992824250328	0.025644950133619684	0.5258493353028065	0.03855962905256007	0.0071193455500530795	0.12322695035460993	0.004447759814685646	2782910946522.0312	199.83333333333343	1.736094082264409
35	35	35	3.0	0.003809105436453943	0.10560170936883076	0.059227005312001764	0.027799307907370684	0.5056818181818182	0.034736585048778114	0.00388236107574748	0.12605042016806722	0.00335622491808791	1466786529250.6108	191.00000000000026	1.0810284501571292
36	36	38	3.0	0.0033295942961135932	0.14379290241292608	0.07037346746362946	0.05324645859843743	0.5092989985693849	0.03579508229347753	0.0032795552647410303	0.17354196301564725	0.003552944269850874	2070853158253.8533	192.8333333333336	0.636207550387444
37	37	31	3.0	0.002515247252090982	0.09077757872863317	0.0549170779668565	0.031552606762775104	0.4937586685159501	0.033187454422241004	0.002542219059322105	0.14623655913978495	0.002987003718958805	1261091069901.5266	186.8333333333337	1.2552803634424397
38	38	29	3.0	0.0026625668579520205	0.07551534841379944	0.049540596890275526	0.07556499601642927	0.4850136239782016	0.03228190100601756	0.002657089416848927	0.15270935960591134	0.002864173736380321	1026246025107.1644	184.00000000000045	0.5689004133710156
39	39	29	3.0	0.0020614344740612573	0.08761347016927418	0.05384674416343566	0.08681662819024942	0.4958217270194986	0.03234048870750319	0.0020798913451035555	0.17733990147783252	0.0028209804120795604	1212399276293.415	186.666666666667	0.8716260917392709
40	40	49	3.0	0.007469600328150359	0.19760739843364605	0.08351225011401887	0.007401621970468205	0.5181950509461426	0.03876714420020175	0.007285479640891396	0.12755102040816327	0.004538928329640047	2916271782034.6143	198.50000000000026	2.136677060512274
41	41	32	3.0	0.003058403869177274	0.09715885845695413	0.0567284103658586	0.08000237825736403	0.4979020979020979	0.03357175655999017	0.0031008900054304107	0.17943548387096775	0.003114238018344873	1345651668438.2993	188.166666666667	0.04809994684275589
42	42	28	3.0	0.00151435960164686	0.08915651035239483	0.05462508350405982	-0.048602728307045706	0.4930747922437673	0.03188908594846788	0.001522374251632493	0.18783068783068785	0.0027030766729968497	1247718674360.636	185.66666666666703	1.126294991770861
43	43	26	3.0	0.0018548758821895367	0.06756212003725684	0.046938713917450144	-0.02428287065348157	0.4910344827586207	0.03087411051381377	0.001894470324357472	0.15692307692307692	0.002584927772168693	921282687263.8394	184.50000000000043	0.7408200902504394
44	44	33	3.0	0.003014433142997641	0.09780365734293853	0.05705149222168664	0.0051541245241908794	0.4992987377279102	0.034005856212825335	0.003052198689609425	0.14962121212121213	0.003158979474002317	1361018874707.6692	188.8333333333337	0.7738933669784136
