	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	pagerank	subgraph	harmonic	strength
86	86	0.6934306569343066	0.0	0.6910837261517883	0.0422411752852	0.02944009588420199	0.4589970666278633	0.6507091910069698	0.8887543161356385	0.7105083960944301	0.3689359409997475	0.8632719983734405	0.0010745972506533336	0.7246093750000047	0.477403917512375
87	87	0.5766423357664233	0.0	0.31466128905364993	0.027321950063076375	0.01838052485407202	0.6747331408484407	0.48255338832780836	0.8221752580272573	0.3282568892737083	0.69915141400152	0.6866595602057086	0.00046880770875528814	0.5839843750000082	0.2025893221008998
88	88	0.2116788321167883	0.0	0.13242548042584504	0.00814167073994832	0.02119333217813358	0.8690342099703166	0.43935755180625247	0.48600079299134363	0.15047777639239843	0.43852570858583967	0.2704348268567315	0.000603480966698353	0.36718750000000644	0.25432912069859104
89	89	0.5620437956204379	0.0	0.27443082288040077	0.028103664695407225	0.019953205072723565	0.6649564556739518	0.527012932832708	0.8143747234405524	0.2838839008443399	0.6633721739113863	0.6608474255991287	0.0005403329117883084	0.5976562500000069	0.1829984005314729
90	90	0.44525547445255476	0.0	0.3824356069323184	0.2941493204434531	0.4358561420071408	0.6495507784398047	0.5897783808231565	0.7419626374732583	0.4076895581172021	0.7117683069639444	0.45322412186358185	0.19180904887049843	0.5644531250000038	0.5381536850449106
91	91	0.8686131386861314	0.0	0.15687200818269129	0.8976977673952743	0.9152843531749184	0.779115361660767	0.7847431768096289	0.958055254851584	0.15496198413415344	0.7666158788591586	0.861785248302491	0.8383275242870255	0.8750000000000024	0.6040892890421408
92	92	0.029197080291970802	0.0	0.051133671306680104	0.0009382787497016229	0.015218097309848846	0.8069919633492298	0.24057333427942984	0.09559155256888084	0.07223075870721465	0.09171779525978346	0.034392283893067865	0.0003437180309133317	0.16210937500000933	0.2951306169605363
93	93	0.8905109489051095	0.0	0.06253723302988196	0.9451757615052181	0.9570539903095001	0.5957815827690471	0.7513747867192531	0.9645929187425263	0.061258300513597645	0.8047792738262483	0.8681964045596522	0.9162622767309432	0.8730468750000033	0.5583298221555084
94	94	0.6277372262773723	0.0	0.7187000630482231	0.04406222358957673	0.033303105711330896	0.45458795894141457	0.868653517537	0.8576438333616724	0.8750975838872204	0.4359171617403191	0.7644950645078427	0.0013436122551045387	0.779296874999998	0.602867297095152
95	95	0.7591240875912408	0.0	0.11804774362196098	0.04728925389086871	0.025072431414814706	0.5584821514062654	0.6156058045653285	0.9106746709471933	0.125428193703471	0.7390228875856419	0.8704020570663551	0.000804175064204201	0.7441406250000064	0.3346255373849573
96	96	0.7956204379562044	0.0	0.23741984475246405	0.0543552475534957	0.0296996802965794	0.6527453613275075	0.6596067553234883	0.9286481748021046	0.23843715426754228	0.6185639338611071	0.9265663357594354	0.0010892719680005844	0.7832031250000051	0.4323496957801483
97	97	0.8029197080291971	0.0	0.1978090441424614	0.05117569076241565	0.026809421804025294	0.4971853162341537	0.6462788430289246	0.9293102696249654	0.19737864778658076	0.6452712144382995	0.9330983250625691	0.0009060759735790634	0.7812500000000056	0.272447523025038
98	98	0.8686131386861314	0.0	0.09353658254859241	0.9075337507888175	0.9234210469415443	0.722490472776735	0.7466621976425896	0.9578582855982639	0.09472244784096234	0.779327883269233	0.8538188962849096	0.85323686012434	0.8593750000000033	0.5916044302941948
99	99	0.8905109489051095	0.0	0.06391182674037689	0.9465628094793505	0.9579677677663699	0.6693906791369617	0.7799351107349413	0.9646792073111893	0.06286163536554046	0.8067319752737145	0.8673762480316849	0.9180057850736218	0.8847656250000024	0.5666143383952027
100	100	0.9051094890510949	0.0	0.10381881900689983	0.9465125041714183	0.9576678375200294	0.7266888523668097	0.7799351107349413	0.9694724934676232	0.10358207711449355	0.766773836524095	0.8915151050080605	0.917433270229843	0.8925781250000038	0.5632315434009127
101	101	0.8394160583941606	0.0	0.07878611847418318	0.8847290585471601	0.906087124962439	0.8144420486563391	0.7048454262154933	0.9470928219459426	0.07605975932557639	0.8248223977882221	0.8194865069451143	0.8216327421879813	0.8261718750000042	0.48651898313574043
102	102	0.7445255474452555	0.0	0.060730826052122246	0.04567289514500631	0.024190626245317867	0.4973816973142201	0.568574599651182	0.9040328312019695	0.05817666783502676	0.7863037139771434	0.8464572817096202	0.0007546794750459795	0.7148437500000073	0.22264683219898473
103	103	0.0	1.0	0.00046642069878742164	0.0	0.006500461046715467	0.6940609847438153	0.0	0.0	0.0014678927197470304	0.09171779525978346	0.0	9.063436343151654e-05	0.0	0.41035774200498565
104	104	0.927007299270073	0.0	0.3481815758721823	0.9582885490629579	0.9650600482940511	0.6731042141986717	0.8089928569395828	0.9768082855779879	0.3530970457638016	0.7295420480198589	0.9478280183104386	0.9315952223114572	0.9160156250000024	0.6069342004703069
105	105	0.8978102189781022	0.0	0.09624983525392564	0.9397974616989558	0.9508766367372388	0.5879650224274559	0.7703603679635416	0.967576921712776	0.0925605985534246	0.7704644202946609	0.8816957397639382	0.9045175040205943	0.8847656250000029	0.7049295718368416
106	106	0.7737226277372263	0.0	0.08651642130499064	0.04867596499635815	0.025403626608488817	0.5003354387613115	0.6156058045653285	0.9163017497362937	0.08257207743590377	0.7414322587756348	0.8835520003476547	0.000823003572851374	0.7519531250000064	0.21282202943937162
107	107	0.8905109489051095	0.0	0.11231673120417032	0.9222704649223205	0.9348555739316697	0.737785999468833	0.8041148053424272	0.9655526808265359	0.11049406273381232	0.7508847138761767	0.8770307275644427	0.8744115604940528	0.8945312500000016	0.5711108394283554
108	108	0.5182481751824818	0.0	0.15238904233255846	0.37336617055989324	0.5086161955641665	0.45903930406876625	0.522917480405177	0.7921111082215238	0.16202153909657407	0.666948988040506	0.5393195887661929	0.26056061813375136	0.5722656250000064	0.7091106155304856
109	109	0.043795620437956206	1.0	0.0020044166736242716	0.00017597396357364373	0.0	0.7368218471492315	0.11796367912793748	0.1395319558380475	0.003128461161452989	0.5961656691885924	0.052264245491292854	0.0	0.09667968750000466	0.37439779846726684
110	110	0.8029197080291971	0.0	0.060365438248394215	0.8532206351499575	0.8808853788438841	0.6912470211910454	0.7002643754130862	0.9336016351415691	0.06931526304932321	0.8535711977783718	0.7807476502352008	0.7767463119313698	0.8046875000000047	0.5867841688609918
