	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	pagerank	subgraph	harmonic	strength
0	0	87	3.0	0.008433976685037228	0.040624414786784635	0.00493188269374494	-0.014922921918580469	0.5173410404624278	0.08907755425344685	0.00758476519445098	0.6712109061748196	0.0030582939812366264	5.1296128495855534e+42	212.0000000000006	-0.9511439490631943
1	1	97	3.0	0.00603921298277444	0.4118485715908423	0.07091626048130259	-0.02971989990830484	0.5056497175141242	0.0927119959784687	0.006361883729867557	0.7091924398625429	0.003079062183274021	1.0648202576884578e+45	212.6666666666675	29.896508199765314
2	2	106	3.0	0.0030457154488851843	0.03623831029220072	0.0035865437347724787	0.01968153471405297	0.5070821529745042	0.09507506339955893	0.0032026424238239203	0.6957771787960467	0.003636997184790769	2.7047384770581773e+42	216.0000000000009	4.7180328656366886
3	3	97	3.0	0.00558080652045494	0.03839632136025645	0.004130750525557932	-0.013075742758022018	0.5180897250361794	0.09241409040620877	0.005468043739379943	0.7038230240549829	0.003356461695581506	3.5929747174559134e+42	215.50000000000068	-1.8256132164853245
4	4	99	3.0	0.004695459841636194	0.03700861710569588	0.003907820619692625	0.002042221929081294	0.5056497175141242	0.09301921515792767	0.004171797979151966	0.6988249845392702	0.003425951496087302	3.214291384308422e+42	213.3333333333342	-2.251946933863059
5	5	96	3.0	0.0022033877020598853	0.030023762006005112	0.0031295423714126536	-0.020335761672584704	0.4958448753462604	0.09179608155899537	0.002416911733316536	0.7664473684210527	0.0033072279312274986	2.0580805318300465e+42	210.00000000000097	-6.2296553046406595
6	6	75	3.0	0.00045605330136078506	0.016706246494018532	0.0021156935523232753	-0.10736324747184584	0.458974358974359	0.08354071463356039	0.00046024723087248086	0.8500900900900901	0.0026522667258975373	9.390903570246231e+41	193.33333333333462	1.2125242592376786
7	7	61	3.0	0.0053883248794021395	0.03115219335958648	0.007487154109971055	0.08409357441507433	0.5226277372262774	0.07756837628065934	0.0048046612124186755	0.4606557377049179	0.002351162861919965	1.1856049487765226e+43	204.50000000000026	29.267782343182596
8	8	59	3.0	0.0013835166631869	0.00986917035396521	0.0016571513568944887	0.03095562828447746	0.4508816120906801	0.07527916512329255	0.0014106476988204606	0.7668030391583869	0.002228795622238123	5.766048490635397e+41	185.66666666666802	-18.2194005150811
9	9	107	3.0	0.0017242862543473039	0.03188868786593113	0.0029830709060445666	-0.032487452845830884	0.4910836762688615	0.09499055722622617	0.0016622392280388212	0.7594780461999647	0.0036351006712782062	1.8674602530746284e+42	212.50000000000114	-4.672988276330203
10	10	56	3.0	0.0005595575336404926	0.008190462931460623	0.0014051807918120133	-0.021193606520349968	0.4323671497584541	0.07335499482443716	0.0005872181277037888	0.7993506493506494	0.002129598464396188	4.13995855658309e+41	179.00000000000136	-13.276347830083314
11	11	96	3.0	0.0019301578956740734	0.02697434555083316	0.0027607512789445663	-0.019594797929612526	0.4792503346720214	0.09167850483298644	0.0019003978094918176	0.7789473684210526	0.0033610694899060102	1.5997901394402358e+42	205.83333333333454	-1.488000067181726
12	12	70	3.0	0.010164561101687654	0.037213521736829486	0.006166928190585721	-0.05851370673573334	0.5158501440922191	0.08212989960153276	0.009395056844818624	0.5768115942028985	0.0025653299530055186	8.034609320933876e+42	206.00000000000043	8.12779926194331
13	13	68	3.0	0.003431258682417107	0.01255978417385535	0.002628404119887655	0.08839916092323773	0.4792503346720214	0.08074036964909559	0.003369153553991348	0.460052677787533	0.002764664095641882	1.4573593434746782e+42	196.5000000000009	30.927384165662055
