	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	pagerank	subgraph	harmonic	strength
14	17	0.7105263157894736	0.33333333333333326	0.013688106813689507	0.41594828535471756	7.650295488559863e-05	0.3971978475249619	0.8030449363075481	0.996721561503822	0.013369825597643025	0.5791245791245792	0.8558665727390007	6.834267865525634e-07	0.8210194910572286	0.1332090049097017
15	19	0.06578947368421052	0.4444444444444444	3.022974607013301e-05	0.0023432907969976684	4.052557274607474e-06	0.8605086147311867	0.5437396819753489	0.8776386635373602	3.022974607013301e-05	0.8666666666666667	0.1046553232205876	1.917758619091707e-09	0.36318269842551104	0.2856992670594263
16	20	0.513157894736842	0.33333333333333326	0.009345017943994524	0.31176282475103834	6.182797045814992e-05	0.4968651591146316	0.7810606099350988	0.9913913085503133	0.009341608654336375	0.7307692307692307	0.6114339083373446	4.463808541971907e-07	0.7224267983512351	0.0333435095717492
17	21	0.5657894736842105	0.33333333333333326	0.01380195593548307	0.355438895326051	6.754201025901523e-05	0.27560189850549677	0.7865017673284137	0.9932624496103987	0.013107839948892972	0.7219873150105708	0.6887844449519382	5.327010366909698e-07	0.7462668347022738	0.11604566617778811
18	22	0.42105263157894735	0.33333333333333326	0.010017160122223924	0.23772215674255873	5.157060578156324e-05	0.6697827613903211	0.776733628611992	0.9871354398714213	0.011696379672538415	0.7897727272727273	0.5007186518752116	3.1055608566963903e-07	0.6775752045382633	0.28471140723227784
19	23	0.3815789473684211	0.33333333333333326	0.0007571736846013596	0.23767618378285738	5.217212492442228e-05	0.08558501516517647	0.7649517790724466	0.9853864685988017	0.0007374838143444579	0.9241379310344828	0.44304084074633376	3.1784298356670783e-07	0.6517148261235763	0.4444664848383648
20	24	0.3815789473684211	0.33333333333333326	0.0006147433561866848	0.2212391135470523	5.019417146400699e-05	0.14504035468057197	0.760709610892485	0.9852328545171222	0.000777325535192715	0.8551724137931035	0.4431876073106087	2.9419965399292335e-07	0.6466639709644582	0.2567783400432475
21	25	0.0	0.5555555555555554	0.0	2.6088780166423563e-06	3.763409814771341e-08	0.6013535458432261	0.37944979086087394	0.19317769396621443	0.0	0.0	0.08247843614618602	1.6538776496157178e-13	0.19604359394859222	0.5864608642242871
22	26	0.0	0.8888888888888888	0.0	2.470959890321453e-06	3.6101463570834596e-12	0.6085958547987276	0.07801615399703643	0.03788337433834954	0.0	0.0	0.1247928294291793	1.7035799325265607e-21	0.03722857104972627	0.7916464772092358
23	29	0.07894736842105263	0.5555555555555554	0.11059480624172326	0.10942723834713755	9.815164866272318e-08	0.8869618180409105	0.4437019712662881	0.5946313448214836	0.11098347440548197	0.4761904761904762	0.501305809977871	1.1249484344410975e-12	0.31332445074332443	0.5065071045902708
24	30	0.02631578947368421	0.8888888888888888	0.00039298669891172917	0.0013728972373774357	1.391162991315008e-11	0.6797201548950216	0.08510754876483317	0.347247718520877	0.00039298669891172917	0.3333333333333333	0.2895712046153711	2.5345967260211985e-20	0.07278659136992183	0.754328384906313
25	32	0.039473684210526314	0.6666666666666665	0.006354724477457215	0.008008480236468447	2.895919698936822e-09	0.778435049622455	0.2976736816899431	0.4846979947446336	0.008298065296251511	0.6666666666666666	0.2968922026190485	9.794358836149781e-16	0.1986872280218514	0.5375809789547559
26	33	0.10526315789473684	0.6666666666666665	0.08089264121609906	0.07814131747630358	5.710411434903589e-09	0.9671818874523672	0.30361848137674097	0.5419513322695674	0.08024486094316807	0.4166666666666667	0.7258473704967633	3.808081303697808e-15	0.23909406929479976	0.7377034663159803
27	34	0.039473684210526314	0.7777777777777777	0.03092503022974607	0.029959131614507018	2.973656806301659e-10	0.740552019533532	0.18295924586040113	0.41994459799516515	0.03092503022974607	0.3333333333333333	0.3890979593424865	1.0345972265606285e-17	0.13655430904431137	0.7415876639868562
28	35	0.2894736842105263	0.6666666666666665	0.0022831108136325876	0.14985948049053324	0.33493173873439436	0.30047050231076927	0.6976905586387473	0.8124440140430548	0.0019358508861701427	0.9051383399209486	0.2248552458642679	0.1121792696117368	0.6397730100516665	0.8684557487140687
29	36	0.15789473684210525	0.7777777777777777	7.26974936825672e-05	0.041778182860368954	0.1799923187624126	0.566267233548819	0.5589583715386027	0.7909911228228227	9.687763293691582e-05	0.8461538461538461	0.12276866499503897	0.03239723481353105	0.5458374816399552	0.8095912271985388
30	37	0.13157894736842107	0.4444444444444444	0.07155994514623587	0.08864082881243708	1.2931416649857997e-05	0.8005106394379884	0.6215339602861515	0.9390077584333573	0.0729599274787447	0.6363636363636364	0.21719648435239644	1.9526652580788772e-08	0.5063527956644105	0.6273264634858496
31	38	0.06578947368421052	0.6666666666666665	0.015054413542926241	0.016631197305801378	1.9667089225315173e-08	0.8929528854587975	0.29606296947533817	0.5296568712872057	0.015054413542926241	0.8666666666666667	0.3546547792507925	4.516741773579477e-14	0.21235820931919885	0.7918778531904578
32	39	0.8026315789473684	0.6666666666666665	0.015132093504038132	0.7032000250248965	0.859694560534468	0.24756668720489403	0.7491575738125803	0.8291283547460505	0.013716030713202758	0.6959280803807509	0.6339697821770659	0.7390747374126019	0.8979727257858057	0.7793323486404966
33	40	0.13157894736842107	0.7777777777777777	2.0294746313615904e-05	0.031955369091130725	0.15749379748246342	0.5969647444201733	0.5501073650837333	0.7826532760654202	2.4395999003012292e-05	0.9272727272727272	0.10035516171964706	0.02480429624550211	0.5195730348125407	0.7520230913384334
34	41	0.5394736842105262	0.33333333333333326	0.039514913734238426	0.3329740783588061	6.195854654521226e-05	0.525534311540203	0.788688393888609	0.9921058660501884	0.038238030487171795	0.6771196283391405	0.707958984071467	4.482682918214189e-07	0.7361651243840368	0.38000017322228863
35	42	0.644736842105263	0.7777777777777777	0.0018388174854811546	0.5542086948046799	0.7419933213887714	0.33540767071138655	0.6049437546009288	0.8261326230776703	0.0017736632345873346	0.8130612244897959	0.4969794544691506	0.5505540889856197	0.8044412657868218	0.742058653961657
36	43	0.5921052631578947	0.33333333333333326	0.02376988971775453	0.3753499608564837	6.955612480976094e-05	0.37755871167557586	0.7963877522223791	0.9940933162184894	0.020656742462841854	0.6956521739130435	0.7031576912043553	5.649452134451191e-07	0.7640458448623713	0.37451804823190094
