	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	subgraph	harmonic
208	209	0.2328767123287671	0.0	0.25309754539837365	0.005399423197410396	0.03227586286390126	0.5445975951807461	0.40652910378811224	0.5823255448265512	0.2765955502610654	0.46476190476190476	0.0012982147726387405	0.404934687953566
209	210	0.1780821917808219	0.0	0.1463855380972085	0.0035855829229311837	0.0261464505591274	0.8742205023842378	0.385358800700099	0.5001326641578594	0.16915328243221497	0.4825396825396825	0.0008927551425963712	0.3686502177068318
210	211	0.10273972602739725	1.0	0.10331492735804178	0.0009648039062144034	0.012268185864542558	0.4051075225698271	0.3182184455351258	0.3492425690406377	0.12367253504585235	0.3352941176470588	0.00025004718882062525	0.29390420899856085
211	212	0.17123287671232876	1.0	0.06737659823891592	0.003555601507071162	0.026308619510177364	0.7195234423240845	0.34891523149183623	0.4867252344401108	0.08524146976976234	0.6427350427350428	0.0009025541926520848	0.3432510885341189
212	213	0.22602739726027396	1.0	0.14501287317422662	0.014533970183626886	0.07075499823103985	0.6264460189404564	0.44047058823529417	0.5753900852994136	0.15812450667027209	0.5284033613445378	0.005546269867810462	0.42307692307693157
213	214	0.15753424657534246	0.0	0.18828474443232002	0.0018476454111206221	0.01642779031778565	0.4520211681840514	0.29693943998263506	0.46555978991860497	0.21180729681437876	0.416	0.00040258004066016695	0.3018867924528441
214	215	0.6301369863013697	0.0	0.4106620401020137	0.48955031425879336	0.5844341511752166	0.5010775921464891	0.7690460799704497	0.8919346606582739	0.4297393648820358	0.6215511324639671	0.34356265775669775	0.7576197387518162
215	216	0.4315068493150685	0.0	0.38210265131523447	0.20453960977822036	0.34829970804101645	0.5781527965190058	0.6432300730943266	0.7853598174098375	0.40021744805681103	0.5434615384615384	0.12317840736988406	0.6168359941944885
216	217	0.3219178082191781	0.0	0.44069689498112213	0.0247741283410712	0.0978172387950412	0.5397149762655016	0.607387140902873	0.6919701393217281	0.468394531557687	0.40714285714285714	0.010292019318406192	0.5529753265602362
217	218	0.22602739726027396	0.0	0.12504913118433023	0.00931344205186342	0.05736861307649759	0.3971558440166611	0.4964447317388494	0.5788426039960608	0.13909948932729307	0.5667226890756302	0.0037350489975962286	0.4542815674891214
