	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	subgraph	harmonic
0	0	59	3.0	0.0024502032457076883	0.07747626582133715	0.028478259628236524	0.01318751921503692	0.521865889212828	0.06184859944386862	0.0024233849679443195	0.5067212156633548	1.905150487426744e+38	203.66666666666694
1	1	53	3.0	0.004030784516391402	0.07812489257751185	0.02844047017107458	0.07823548527233526	0.5264705882352941	0.05928222469666484	0.004071719215183342	0.3969521044992743	1.8999448096595818e+38	202.66666666666683
2	2	86	3.0	0.003102935566715611	0.25392008611272315	0.05566492681790631	0.07253430889082839	0.5457317073170732	0.07031984967406421	0.003045487673144347	0.5242134062927497	7.278809964604626e+38	217.6666666666669
3	3	89	3.0	0.005853136174946367	0.21131132707396874	0.04948513030291965	0.12423890090608453	0.5567651632970451	0.0710197662637408	0.0057498296027671016	0.46705822267620023	5.752388371140567e+38	220.83333333333348
4	4	90	3.0	0.002959996591609351	0.2869230265543198	0.0599525341184831	0.019377586529769397	0.5507692307692308	0.07124768745571582	0.0029280219742490047	0.5410736579275905	8.443270628665451e+38	220.00000000000023
5	5	89	3.0	0.002504387773718244	0.29410332458202587	0.060914397859601885	0.043281663323880615	0.5474006116207951	0.07101798573051729	0.0024539704410671114	0.5656281920326864	8.716378178193034e+38	219.00000000000026
6	6	35	3.0	0.0006413178941311984	0.04545222202586327	0.022047070957082054	-0.06370093719411393	0.48575305291723203	0.0490915802888164	0.0006734881464246113	0.6369747899159663	1.1418240102633828e+38	187.1666666666672
7	7	40	3.0	0.0018893073115655952	0.008476899908101085	0.007916895441200441	-0.021811523257429532	0.5049365303244006	0.05202226555897317	0.0019452375834274997	0.42435897435897435	1.4721775759223604e+37	193.5000000000003
8	8	62	3.0	0.003343808678976438	0.07714098193952591	0.02811452495145528	-0.015650404541270983	0.5327380952380952	0.06302367929515962	0.0033426401584669666	0.4420941300898995	1.8565709622589234e+38	207.00000000000017
9	9	104	3.0	0.0026781614430640525	0.44916668412778554	0.07997555278199185	-0.06645039827556178	0.5646687697160884	0.07415697816113534	0.002642081661753435	0.549663928304705	1.5024418513410307e+39	227.33333333333354
10	10	30	3.0	0.0015335378817966335	0.016440803609716035	0.012423171667225952	-0.00718074825606877	0.4897400820793434	0.04511802382690577	0.0016108568976777892	0.40229885057471265	3.6250802221390182e+37	186.50000000000043
11	11	65	3.0	0.0029062360837202816	0.20634235843630544	0.04960735754510753	-0.054152573036864875	0.5128939828080229	0.06412449397300962	0.0028043468467762915	0.6153846153846154	5.780719619683167e+38	203.6666666666671
12	12	47	3.0	0.002390838309958589	0.02339237598517077	0.01458674604638695	-0.016397638804227597	0.5092460881934566	0.056266295331233	0.0024291624327360925	0.4162812210915819	4.9981842181526505e+37	196.83333333333366
13	13	39	3.0	0.0026638012219368785	0.009971669696603038	0.007726011166091494	0.057226038124433005	0.4904109589041096	0.05092462462741454	0.0028145865451439794	0.37516869095816463	1.4020954357993128e+37	189.66666666666717
