	ID	degree	betweenness	betweennessbct	eigenvector	eigenvectorbct	katz	closeness	load	clustering_coef	clustering_coefbct	pagerank	pagerank_d85bct	subgraph	subgraphbct	harmonic	strength
0	0	23	0.024834046928757517	3191.721379377773	0.0020926550021585226	0.002073547150256673	0.0010340660654147274	0.2984636538451781	0.01893658572944868	0.5296442687747036	0.5296442687747036	0.003192375620195002	0.0031947840081923673	1847763756252.1396	1847763756252.0928	129.8523809523805	15.22409000210296
1	1	12	0.0021841054277257823	280.705597782173	0.02946801047375373	0.0294680996142496	-0.01076827136667208	0.2670848344922621	0.002765757438143634	0.4848484848484849	0.4848484848484849	0.0018642365379481017	0.0018651902672909167	20532443990001.6	20532443990002.42	117.64047619047626	20.54756249479639
2	2	26	0.015955357932174074	2050.6145121588766	0.0005581664064450914	0.0005198054873845336	-0.031696663075420003	0.272866854223152	0.014801359190716555	0.4830769230769231	0.4830769230769231	0.0036175140414422343	0.0036196080183362135	7043792287907.299	7043792287907.173	123.65714285714284	15.934902195850174
3	3	28	0.056926207951045874	7316.270098284318	0.002236667289613425	0.002210581756585527	-0.005502452575922319	0.3034380480759311	0.04739114409146762	0.4470899470899471	0.4470899470899471	0.003830943485562249	0.0038339024452914076	3369728073517.814	3369728073517.77	134.03571428571357	14.139027256588962
4	4	23	0.03238054613110184	4161.612549861471	0.0022383024812528685	0.0022184807231221647	-0.015665412477360263	0.29819207636215245	0.024889913509437967	0.4861660079051384	0.4861660079051384	0.003203719447408684	0.003206052310752371	1995386276752.6057	1995386276752.5308	129.93571428571389	14.163588881235864
5	5	19	0.013497889558447195	1734.7757618307508	0.0018795328361132441	0.001866186089336102	0.002373487451234976	0.29155969032206897	0.012214756567906632	0.5555555555555556	0.5555555555555556	0.0027351069689474303	0.0027371216465375595	934269392312.0176	934269392311.9775	125.63571428571406	16.36487453811825
6	6	0	0.0	0.0	2.405874944012374e-149	0.0	-0.0026627538847974344	0.0	0.0	0.0	0.0	0.00043091065785693777	0.0004309106578569377	1.000000000000004	1.0	0.0	27.861264078762243
7	7	19	0.008590203168332766	1104.030091600464	0.0003660188110823008	0.000349817349366038	0.04767942880151357	0.2638591722399401	0.008214801562290255	0.6432748538011696	0.6432748538011696	0.003072897866817297	0.0030752091005666173	1258183438502.1304	1258183438502.1023	116.01547619047639	14.535219403047128
8	8	1	0.0	0.0	4.3255646289706393e-07	4.321280828085562e-07	-0.002213973986184918	0.17752605196208318	0.0	0.0	0.0	0.0008264271805909317	0.0008245695846611287	5296.67416449918	5296.674166590231	68.66706349206329	-19.47710218618809
9	9	0	0.0	0.0	2.405874944012374e-149	0.0	-0.0026627538847974344	0.0	0.0	0.0	0.0	0.00043091065785693777	0.0004309106578569377	1.0	1.0	0.0	-3.647465222761742
10	10	4	0.01949467091689384	2505.4940955810307	3.306327917077595e-05	3.306300521414112e-05	-0.00327306860324908	0.2027927549022312	0.020608113442720115	0.0	0.0	0.002586958913544034	0.0025766362203288023	25848019.70558453	25848019.705577146	80.48214285714347	-16.273709544697233
11	11	2	0.004744281525547529	609.7445502264195	1.0372379327587766e-08	8.754930769673683e-09	-0.0033693131548212045	0.15605385329619312	0.005046787015212791	0.0	0.0	0.0021099110888175925	0.002106757036357376	12515.223400738903	12515.223400745072	60.69603174603203	-5.548706240112744
12	12	17	0.005565358937505084	715.2710613660284	0.005903683120563182	0.0059002074156065745	-0.015178271745966703	0.2781944753157942	0.005700106305191576	0.5367647058823529	0.5367647058823529	0.002551894996187803	0.002553361555864395	880936134110.1714	880936134110.2455	119.70595238095234	20.170677829341432
13	13	5	0.003760529909268819	483.31082499904716	1.0115087297920951e-05	1.0094848992972126e-05	0.023901164805036318	0.21774956273887414	0.0039036715126604424	0.5	0.5	0.002079995402761449	0.00207516212313422	4368620.026269305	4368620.026273348	86.12182539682581	25.440488439444447
14	14	5	0.003872318782312543	497.67815454037265	1.666874186327443e-05	1.6639514885757017e-05	0.00912903571398382	0.22632119607873316	0.004558973365518578	0.5	0.5	0.002088897284635273	0.002084639903279146	10632526.844143778	10632526.844148943	89.6218253968257	21.152192558175717
15	15	48	0.02968039556186806	3814.5837984024074	0.11696110092224064	0.1169611109600791	0.02326424797539112	0.31450392698848906	0.02699417748351928	0.448581560283688	0.448581560283688	0.005513578894942832	0.005517583753647465	323458565208482.44	323458565208499.7	147.7547619047611	23.6410912361671
16	16	46	0.011485958754253005	1476.1983910141046	0.13219785001940876	0.13219811052986147	0.0089999939796614	0.2931244113792537	0.011662868601925796	0.5091787439613527	0.5091787439613527	0.005261320067561272	0.0052653686081649154	413224868086673.2	413224868086695.0	142.28928571428474	22.08659178651741
17	17	46	0.023148638931478636	2975.109372751497	0.0008256137594501253	0.0007431016097581782	-0.04579530610306561	0.28546436578571915	0.020181363982727685	0.548792270531401	0.548792270531401	0.0055135429325333185	0.005518611479099884	32571957120438.12	32571957120437.496	135.70476190476128	4.587942350719159
18	18	38	0.01663164496591236	2137.532274308989	0.08168632905260001	0.08168622900957134	0.019428654104531897	0.30541760663747025	0.01582226593372116	0.476529160739687	0.476529160739687	0.004692373065329521	0.0046955496641898605	157773328127087.28	157773328127096.25	140.8880952380943	32.14158994780725
19	19	7	0.0018436023744123802	236.9434643642279	0.002258644257082147	0.0022574699792830165	-0.009051111009227224	0.26112596965896856	0.0018966919274259323	0.6190476190476191	0.6190476190476191	0.001303316250726218	0.001303956347409195	127096266084.61305	127096266084.62405	107.7726190476194	10.829475944731968
20	20	38	0.00926775115069518	1191.1099133896464	0.0007908562685414428	0.0007290297525132249	0.004069540537236536	0.2805762773304842	0.0067827687021738995	0.5533428165007113	0.5533428165007113	0.0045611776396528424	0.004565533640883285	18292887151221.426	18292887151221.066	130.78095238095213	8.45784259674083
21	21	48	0.023023859326434762	2959.072448352049	0.0007837009504078202	0.0006989137708071781	0.027545557293563595	0.2882261142673752	0.02347834935366225	0.5363475177304965	0.5363475177304965	0.005616241845461756	0.005621136693674363	34390627754272.64	34390627754272.016	137.71428571428496	4.621407000490861
22	22	24	0.013750493754632059	1767.2409583328213	0.0005126750745195413	0.0004834127682889388	-0.0205992962640282	0.2692794510451977	0.01310857094870878	0.4673913043478261	0.4673913043478261	0.0036034885743087258	0.0036063127482371727	4100506803845.1714	4100506803845.0825	120.93809523809531	9.085254531489554
23	23	19	0.012254355881619144	1574.9543266174555	0.00019059731287869217	0.00016358561851600442	0.06780278148981247	0.2580418046629965	0.01320148475985937	0.4853801169590643	0.4853801169590643	0.0031144408728441047	0.003113076385851532	3489924379718.177	3489924379718.1187	115.05595238095266	-15.73066571315616
24	24	9	0.00012571223127897055	16.156787388435852	0.0001045416689166424	8.976852937634434e-05	0.01366977037514053	0.23973159613899456	0.00021046241338042843	0.8055555555555556	0.8055555555555556	0.0014253180832957772	0.0014258782626536456	1043899032742.49	1043899032742.4728	103.53928571428631	-4.112448552748065
25	25	2	0.007747509337711367	995.7253951013404	3.626646262907072e-07	3.065520756949323e-07	-0.0034278716152667467	0.17112955191749638	0.007862811404104778	0.0	0.0	0.001750769945929473	0.0017426242356751696	15059749.8181303	15059749.818128435	68.53055555555567	14.079457015228982
26	26	13	0.005230805994461118	672.2736480201322	3.8987428695941164e-05	3.8215056102618576e-05	0.284743010312893	0.241854680385244	0.004921712277910273	0.5641025641025641	0.5641025641025641	0.003767670044822908	0.003755198195926843	2887470207.310865	2887470207.3109145	102.41428571428624	10.68484448255249
27	27	1	0.0	0.0	2.382663138165112e-121	1.099552923628812e-34	-0.002958615427552705	0.0027855153203342623	0.0	0.0	0.0	0.002872737719046252	0.002872737719046251	1.5430806348152415	1.5421291024178516	1.0	0.39474161593033286
28	28	2	0.0	0.0	9.149735274529869e-07	9.089865675760252e-07	0.026193716499180703	0.18877482253571748	0.0	1.0	1.0	0.0012324282861606453	0.0012297617560961516	190984.17272037914	190984.31026273954	74.66666666666686	3.6654407579717483
29	29	14	0.01866982141755271	2399.482788226709	3.3539783447251476e-05	3.33380650716173e-05	0.2599897403861297	0.2349197791555596	0.01880486505061641	0.4395604395604396	0.4395604395604396	0.004900536328482678	0.004884604777581925	220881295.69032183	220881295.6903581	99.32380952381	-0.28473440969860375
30	30	2	0.0017994082013899886	231.26354085904407	1.8766766175379783e-07	1.8686887771130905e-07	-0.0024169481112311948	0.1810569568629865	0.0021303072609288663	0.0	0.0	0.0017061711416768333	0.0017035250631616534	3879.745181073468	3879.7451811419824	69.4003968253967	20.818395918354113
31	31	6	0.019507619551782502	2507.158280034191	5.368358081543922e-05	5.235191491095048e-05	-0.003566037791700889	0.24149822543994515	0.020555861802561547	0.06666666666666668	0.06666666666666668	0.002318086449837857	0.0023148713545321554	8545434538.668052	8545434538.668008	100.04285714285764	23.207176629489418
32	32	5	0.005568473052133443	715.6712936062945	4.016830249594081e-06	3.961926514415117e-06	0.08335635039826851	0.20741334931772504	0.00564606328388825	0.4	0.4	0.0021418517489579843	0.002136310033703677	14787377.67723301	14787377.677236855	83.70357142857199	6.821278969780783
33	33	11	0.002970975756968991	381.8357462371685	3.349248934248705e-05	3.3290766601175675e-05	0.2543494913666547	0.23542607178305	0.002957142359083413	0.7090909090909091	0.7090909090909091	0.003348837058883338	0.003337168650515066	220815094.12108985	220815094.12112263	98.25714285714335	-4.420660792221506
34	34	6	0.0033222538627451443	426.9827109477314	3.6853177106003488e-06	3.6354842312611977e-06	0.09160615949491532	0.2165982101269039	0.00373187812727916	0.5333333333333333	0.5333333333333333	0.0022362200117571297	0.0022296507354309697	12189138.91312575	12189138.913128505	87.09523809523853	12.357414578259887
35	35	14	0.00572840906508186	736.226589862451	0.028420817245048826	0.028420876473587438	0.00037717021211415564	0.2703903398696416	0.00693702947638661	0.3516483516483517	0.3516483516483517	0.002174764063030079	0.002175876116420642	19099012809918.75	19099012809919.69	119.93333333333334	31.704250263374146
36	36	21	0.005529831360222749	710.7049860785481	0.039324823257378266	0.03932481135318574	0.014915278348478988	0.2726398435291228	0.005700413966471531	0.4571428571428571	0.4571428571428571	0.003001506797730782	0.003003074111372357	36565292098038.63	36565292098040.74	124.00714285714285	34.84576952778802
37	37	29	0.026261208024008047	3375.142977661562	0.0008491540588711838	0.0008192873712621079	0.024170643552057586	0.28873400169339697	0.029346715759162024	0.5098522167487685	0.5098522167487685	0.0040998517372465935	0.004102544132207591	4281767164574.4287	4281767164574.324	130.1642857142854	23.73912878022357
38	38	26	0.010290280552000007	1322.5274371041448	0.0005710263531961706	0.0005440721202559614	0.04180967392811159	0.277487800103307	0.010647122393483269	0.5569230769230771	0.5569230769230771	0.003673748714093322	0.0036768345500704336	3481474993708.678	3481474993708.5864	124.72380952380941	18.608923466762867
39	39	22	0.0012466377116835035	160.22037198098724	0.06045959608988687	0.06045980368196657	-0.004793190722389446	0.251313720799084	0.0014618625082554668	0.683982683982684	0.683982683982684	0.0028010208550424604	0.0028024265071816146	86431111839444.19	86431111839447.84	117.18452380952401	16.755982751741357
40	40	11	0.005985583132921245	769.2791154093044	0.006671421128167009	0.0066713196378032046	-0.008819880427904143	0.2666501968445936	0.007060995922607177	0.3636363636363637	0.3636363636363637	0.002263679634819499	0.0022645032361922816	1052397982115.5511	1052397982115.6132	114.2583333333334	25.767855058973314
41	41	32	0.011629477720719952	1494.6437356223696	0.0005029547561684412	0.0004570426677809837	0.04109444367320856	0.28009665976239795	0.01518163469499943	0.5080645161290323	0.5080645161290323	0.004155005639206032	0.004158832228326783	10085580297015.752	10085580297015.56	126.78095238095226	1.5178697092368214
42	42	8	0.0010566361532471466	135.8009916876298	0.011973363752107386	0.011973383680594862	-0.004036716511447014	0.24511076433957035	0.0010670333475262925	0.5	0.5	0.001586005718113935	0.0015866743775117644	3389765621346.8164	3389765621346.993	106.53333333333374	30.450733702011092
43	43	29	0.0050112123080130674	644.0510282504554	0.0006306263300939706	0.0005919030793073543	0.02440597802176921	0.273550160202008	0.004116064133862678	0.5714285714285714	0.5714285714285714	0.003748067538123607	0.0037515642918384546	7179260708098.905	7179260708098.758	125.0071428571428	9.703708763868173
44	44	13	0.00021766917047224912	27.975277127434406	0.00021614070008303384	0.0002075999598956131	0.044411998029767835	0.2554271955744393	0.0003247155171598154	0.8589743589743589	0.8589743589743589	0.0021136137214319934	0.002115210282380716	349859894480.8696	349859894480.859	108.41547619047665	22.708712481469835
45	45	4	0.00027222629708516363	34.98706815397941	0.007892389794523443	0.007892414963893151	4.715108304351718e-05	0.22853074750488536	0.00034395872854648286	0.5	0.5	0.0009685229129435057	0.000968805282449326	1472842455256.546	1472842455256.615	98.21587301587371	13.986876152040844
46	46	36	0.007911475956108242	1016.7987128309436	0.0005773743563269191	0.0005163624825447049	-0.022111047835753204	0.273094243268338	0.009274743087630176	0.5571428571428572	0.5571428571428572	0.004435064814961486	0.004439373026754365	17808050489078.023	17808050489077.695	126.61428571428569	5.696430076780461
47	47	2	0.0	0.0	0.0029232818475638488	0.002923275586821605	0.00014103459359797688	0.23542607178305	0.0	1.0	1.0	0.0006646153796144352	0.0006647737483016413	202057986801.7545	202057986801.76996	96.7702380952386	29.857414907034446
48	48	1	0.0	0.0	9.690893977525532e-06	9.678808887655873e-06	-0.002847906254152055	0.19694296389543606	0.0	0.0	0.0	0.0007934110064815226	0.0007934820843869293	2913633.571751926	2913633.571748837	76.17182539682574	4.915198823246605
49	49	29	0.0032254293527705325	414.53863127677437	0.09500129114349228	0.09500156043839156	0.004464037175814308	0.26950089796217563	0.003419917705538015	0.6083743842364532	0.6083743842364532	0.003484122775014381	0.003486645859386873	213401647070510.1	213401647070520.88	127.49166666666677	24.025217777642723
50	50	8	0.003442528554333565	442.4406548600584	0.00010011233809065197	9.091792061256028e-05	0.025977259081479857	0.2452942304805431	0.003818050562260876	0.3928571428571429	0.3928571428571429	0.0016182239001825676	0.001619135949116994	404475683203.5305	404475683203.5223	104.98928571428623	-3.425247830215314
51	51	11	8.543871828554445e-05	10.980754951494744	0.000176017108175057	0.00016961692200195982	0.04052200087885335	0.2505451773104018	0.00017471109125926867	0.8909090909090909	0.8909090909090909	0.0018727522459765866	0.001874124591041638	196574611836.52127	196574611836.5156	105.04880952381001	15.776896333548828
52	52	49	0.009203159741185851	1182.808496256688	0.0007584550659727193	0.0006668111655272065	0.016742688611775986	0.26972270940082765	0.009679282639878578	0.5918367346938775	0.5918367346938775	0.005572092079755022	0.005577359837229657	40174874809565.76	40174874809565.01	132.80476190476165	-8.20641631222776
53	53	10	0.0028298547194446225	363.6985882524618	0.00011372329063048772	0.00010359463494868941	-0.014848418079713644	0.2552282647367645	0.004354730286353353	0.4444444444444444	0.4444444444444444	0.0017330913022013505	0.001734286446356696	490865243696.1404	490865243696.1307	108.33809523809569	12.299037989558943
54	54	11	0.00013553491962240208	17.41921893971036	0.00016171489856313032	0.0001428482693268357	-0.006525747034616855	0.2355953212954749	0.00015489699695622695	0.7090909090909091	0.7090909090909091	0.0016445445698523794	0.0016458568528716908	1702728816327.214	1702728816327.1868	103.90000000000056	0.8770909675909333
55	55	6	0.010635480132757686	1366.8931776222832	0.004273062819657322	0.004273079109428354	-0.005538184158612743	0.2016695950289265	0.010640960611276977	0.26666666666666666	0.26666666666666666	0.0023459388833552467	0.002346027934478991	431736577180.1179	431736577180.1275	87.698412698413	-0.817997236282945
56	56	2	5.515340667943013e-05	7.088426133253718	0.000992595800002016	0.0009925983085378007	-0.003371870089783637	0.21307743297919735	6.025845754083967e-05	0.0	0.0	0.0008685856169409117	0.0008687487193471759	23296099564.862637	23296099564.86346	86.75039682539719	9.545030129735322
57	57	1	0.0	0.0	0.0001767561893582521	0.00017675610295132986	-0.0035900607437484157	0.2006816239571375	0.0	0.0	0.0	0.0007094036307224871	0.0007094752006569572	738728018.0464388	738728018.0464689	80.06269841269872	13.308709860487935
58	58	10	0.015850619577549647	2037.1533293458358	0.006664047318445926	0.0066640443844106926	-0.00927306858950981	0.25384437794113524	0.016783361164554752	0.2	0.2	0.003276502129085737	0.0032772299152943477	1050053558441.472	1050053558441.5184	109.11428571428604	26.74269149677192
59	59	3	6.872910200575151e-05	8.833201647983195	0.0010001212751259848	0.0010000955894152671	-0.005944544476081064	0.23542607178305	0.00013540429358048606	0.6666666666666666	0.6666666666666666	0.0008991629781298006	0.000899407135911334	23652538834.80097	23652538834.801197	95.49563492063528	19.699412550537467
60	60	16	0.021759583926384312	2796.585245386765	0.00011542774240375042	9.931669560402747e-05	0.20398333447200995	0.2492114767467723	0.018925281947398842	0.36666666666666653	0.36666666666666653	0.0031650633223306995	0.0031593217889287835	1241545787879.4363	1241545787879.4128	111.82261904761944	-1.4074858084020372
61	61	0	0.0	0.0	2.405874944012374e-149	0.0	-0.0026627538847974344	0.0	0.0	0.0	0.0	0.00043091065785693777	0.0004309106578569377	1.0	1.0	0.0	16.584479128259765
62	62	31	0.0074960447552725315	963.4066640371364	0.0930831470769034	0.09308343925928572	0.01489633543524939	0.2690583677520571	0.007335675749653755	0.6408602150537634	0.6408602150537634	0.0036900976173949275	0.003692473896178978	204871380358724.4	204871380358733.72	127.36547619047626	19.48713968035016
63	63	13	0.007232643323714584	929.553785250446	4.243804050724719e-05	3.767268246326192e-05	0.22310000535625715	0.25325586701855146	0.008130588612398747	0.38461538461538464	0.38461538461538464	0.0031351735872378666	0.0031276063908275147	108632333050.70848	108632333050.70688	108.89761904761951	-10.353202117907152
64	64	18	0.07218072217962578	9276.81077596986	0.00010440547833892168	9.160183646874844e-05	0.1334656612083519	0.2706136184327049	0.07372875107196215	0.20915032679738566	0.20915032679738566	0.004623654811931161	0.004615557747565115	784170810520.6854	784170810520.673	118.46904761904774	-21.66123766003969
65	65	1	0.0	0.0	2.7040874845490037e-08	2.26258544484298e-08	-0.002928487459711128	0.15129874973315122	0.0	0.0	0.0	0.0011760772358536107	0.0011758444549863738	93231.54576578936	93231.54576582047	58.72106782106806	-2.3362313549744465
66	66	4	0.005357045732795089	688.4982316702907	1.2936267301153047e-05	1.2164909249206376e-05	0.004445466711859636	0.2156007183697405	0.005383811386927585	0.16666666666666666	0.16666666666666666	0.0018354751296222078	0.0018359427626774192	2848926602.5565486	2848926602.5566483	87.75357142857193	2.6405438042246976
67	67	31	0.020431601276067	2625.910259202683	0.00041102349185086933	0.00035452607493568036	0.00744962256998815	0.25443563037422795	0.020623160867862263	0.6021505376344086	0.6021505376344086	0.004402499247729863	0.004402987976982314	15267761283955.375	15267761283955.12	119.57976190476214	-5.338749220415094
68	68	6	0.0060807861783560785	781.5148012146799	6.134684876201646e-05	6.125875359862461e-05	0.07730179855534429	0.23542607178305	0.006862554422963079	0.3333333333333333	0.3333333333333333	0.0020970362463271185	0.0020919197017124805	125851152.24793634	125851152.24797311	94.78095238095275	7.048074011935235
69	69	3	0.012542499848966136	1611.9871655888253	1.3495513513024605e-05	1.1548846784046628e-05	-0.004281864149871925	0.2034221551347024	0.012511566983004695	0.3333333333333333	0.3333333333333333	0.0014704265130996356	0.0014694417789400491	18125599678.895653	18125599678.895336	85.54642857142905	6.873342413681701
70	70	9	0.0048184918354702705	619.28220767831	2.8321407453743463e-05	2.758100726218332e-05	0.09426704677755827	0.2432910853170049	0.005212931418353354	0.3611111111111111	0.3611111111111111	0.002836376607672597	0.0028297838861699193	2639610031.498973	2639610031.498844	101.41190476190529	-15.908385093086707
71	71	2	0.0005821641421869643	74.82089988215301	8.034574457030001e-06	7.937668473957475e-06	0.0077496889282383285	0.21588477728722366	0.0007842989331841254	0.0	0.0	0.0010009280609123202	0.0009998244125682056	46399805.55959889	46399805.55959484	84.56190476190523	-4.727721499194158
72	72	2	0.0	0.0	9.149735274529869e-07	9.089865675760252e-07	0.02619371649918069	0.18877482253571748	0.0	1.0	1.0	0.0012324282861606453	0.001229761756096152	190984.17272038088	190984.31026273954	74.66666666666686	-5.119075807521194
73	73	29	0.0011394532686697602	146.4448129959749	0.09611256765195636	0.09611288128254702	0.009622075184633296	0.2568284419451454	0.0014437314581708775	0.7266009852216748	0.7266009852216748	0.0033682005426911464	0.003370641338927184	218423676676611.1	218423676676621.38	122.8857142857144	10.169685454311688
74	74	37	0.0019054123394358496	244.8874046889744	0.1193063520800728	0.11930673512554488	0.012055167781774907	0.2655697665494373	0.002346269640930523	0.6711711711711712	0.6711711711711712	0.004160569297135987	0.004163623139856511	336563032105492.06	336563032105507.2	129.01666666666677	11.785643644360057
75	75	1	0.0	0.0	2.382663138165112e-121	2.6936760456469994e-36	-0.002958615427552705	0.0027855153203342623	0.0	0.0	0.0	0.002872737719046252	0.002872737719046251	1.5430806348152426	1.542129102417848	1.0	-1.6137935669922152
76	76	8	0.004993021328721421	641.7130872099344	1.6419771375465242e-05	1.638799054545326e-05	0.004630722335659568	0.220830924475745	0.005214517549818509	0.6428571428571429	0.6428571428571429	0.003425474369167265	0.003411637725025929	11181134.638284476	11181134.639233015	90.34166666666712	-14.273916488810695
